カテゴリー,技術名,推定レベル(1-5),根拠プロジェクト数,根拠プロジェクト
クオリティ管理,デジタルプロダクトディレクション,4,5,株式会社OMYコーポレートサイトリニューアル / 株式会社スターミュージック・エンタテインメントコーポレートサイトリニューアル / デザインシステム「Interstellar」構築 / CRM（kintone）メール拡張機能開発 / NEONMAFIA株式会社リブランディング
クオリティ管理,アートディレクション,4,5,株式会社OMYコーポレートサイトリニューアル / 株式会社スターミュージック・エンタテインメントコーポレートサイトリニューアル / 株式会社スターミュージック・エンタテインメントCulture Deckデザイン / NEONMAFIA株式会社リブランディング / ショート動画白書デザイン
クオリティ管理,テクニカルディレクション・クオリティ・技術管理,3,4,株式会社OMYコーポレートサイトリニューアル / 株式会社スターミュージック・エンタテインメントコーポレートサイトリニューアル / デザインシステム「Interstellar」構築 / CRM（kintone）メール拡張機能開発
デザイン開発,エクスペリエンスデザイン,4,4,株式会社OMYコーポレートサイトリニューアル / 株式会社スターミュージック・エンタテインメントコーポレートサイトリニューアル / CRM（kintone）メール拡張機能開発 / NEONMAFIA株式会社リブランディング
デザイン開発,UIデザイン,4,5,株式会社OMYコーポレートサイトリニューアル / 株式会社スターミュージック・エンタテインメントコーポレートサイトリニューアル / CRM（kintone）メール拡張機能開発 / 株式会社スターミュージック・エンタテインメントCulture Deckデザイン / NEONMAFIA株式会社リブランディング
デザイン開発,エンジニアリング設計,3,3,株式会社OMYコーポレートサイトリニューアル / デザインシステム「Interstellar」構築 / CRM（kintone）メール拡張機能開発
デザイン開発,ビジュアルデザイン,4,5,株式会社OMYコーポレートサイトリニューアル / 株式会社スターミュージック・エンタテインメントコーポレートサイトリニューアル / 株式会社スターミュージック・エンタテインメントCulture Deckデザイン / NEONMAFIA株式会社リブランディング / ショート動画白書デザイン
デザイン開発,情報設計,4,4,株式会社OMYコーポレートサイトリニューアル / 株式会社スターミュージック・エンタテインメントコーポレートサイトリニューアル / CRM（kintone）メール拡張機能開発 / NEONMAFIA株式会社リブランディング
デザイン開発,フロントエンド・バックエンド実装,3,2,株式会社OMYコーポレートサイトリニューアル / CRM（kintone）メール拡張機能開発
デザイン開発,コンテンツデザイン,3,3,株式会社スターミュージック・エンタテインメントCulture Deckデザイン / NEONMAFIA株式会社リブランディング / ショート動画白書デザイン
デザイン開発,コンテンツマネジメント,2,2,株式会社OMYコーポレートサイトリニューアル / ショート動画白書デザイン
デザイン開発,進行管理,3,2,ショート動画白書デザイン / 株式会社スターミュージック・エンタテインメントCulture Deckデザイン
デザイン開発,ライティング,3,2,株式会社スターミュージック・エンタテインメントCulture Deckデザイン / ショート動画白書デザイン
ビジネス戦略,ブランディング支援,4,5,株式会社OMYコーポレートサイトリニューアル / 株式会社スターミュージック・エンタテインメントコーポレートサイトリニューアル / デザインシステム「Interstellar」構築 / 株式会社スターミュージック・エンタテインメントCulture Deckデザイン / NEONMAFIA株式会社リブランディング
ビジネス戦略,マーケティング・PR支援,4,4,株式会社OMYコーポレートサイトリニューアル / 株式会社スターミュージック・エンタテインメントCulture Deckデザイン / NEONMAFIA株式会社リブランディング / ショート動画白書デザイン
ビジネス戦略,事業開発支援,3,2,デザインシステム「Interstellar」構築 / NEONMAFIA株式会社リブランディング
プロジェクト推進,プロジェクトプランニング,3,3,株式会社OMYコーポレートサイトリニューアル / 株式会社スターミュージック・エンタテインメントコーポレートサイトリニューアル / ショート動画白書デザイン
プロジェクト推進,プロジェクトリード,3,3,株式会社スターミュージック・エンタテインメントコーポレートサイトリニューアル / デザインシステム「Interstellar」構築 / ショート動画白書デザイン
プロジェクト推進,プロジェクトマネジメント,3,2,株式会社OMYコーポレートサイトリニューアル / CRM（kintone）メール拡張機能開発
リサーチ＆プロトタイピング,マーケティング＆デザインリサーチ,4,5,株式会社OMYコーポレートサイトリニューアル / 株式会社スターミュージック・エンタテインメントコーポレートサイトリニューアル / CRM（kintone）メール拡張機能開発 / NEONMAFIA株式会社リブランディング / ショート動画白書デザイン
リサーチ＆プロトタイピング,プロトタイピング,3,3,株式会社スターミュージック・エンタテインメントコーポレートサイトリニューアル / デザインシステム「Interstellar」構築 / CRM（kintone）メール拡張機能開発
関係管理,ドキュメンテーション,4,4,デザインシステム「Interstellar」構築 / 株式会社スターミュージック・エンタテインメントCulture Deckデザイン / ショート動画白書デザイン / NEONMAFIA株式会社リブランディング
